epoch: 0, train loss: 2.7157, train accuracy: 11.34%, valid accuracy: 11.0%, time: 2022-11-19 12:20:03
epoch: 39, train loss: 2.1653, train accuracy: 69.18%, valid accuracy: 29.0%, time: 2022-11-19 12:31:30
epoch: 40, train loss: 2.166, train accuracy: 68.94%, valid accuracy: 28.5%, time: 2022-11-19 12:31:52
epoch: 41, train loss: 2.1582, train accuracy: 70.06%, valid accuracy: 28.0%, time: 2022-11-19 12:32:13
epoch: 42, train loss: 2.1627, train accuracy: 69.66%, valid accuracy: 27.0%, time: 2022-11-19 12:32:33
epoch: 43, train loss: 2.1592, train accuracy: 70.0%, valid accuracy: 26.0%, time: 2022-11-19 12:32:55
epoch: 44, train loss: 2.1528, train accuracy: 70.78%, valid accuracy: 29.5%, time: 2022-11-19 12:33:16
epoch: 45, train loss: 2.1349, train accuracy: 72.22%, valid accuracy: 28.0%, time: 2022-11-19 12:33:37
epoch: 46, train loss: 2.1185, train accuracy: 73.8%, valid accuracy: 30.5%, time: 2022-11-19 12:33:59
epoch: 47, train loss: 2.1057, train accuracy: 74.84%, valid accuracy: 34.0%, time: 2022-11-19 12:34:20
epoch: 48, train loss: 2.103, train accuracy: 75.18%, valid accuracy: 32.0%, time: 2022-11-19 12:34:42
epoch: 49, train loss: 2.1039, train accuracy: 75.12%, valid accuracy: 25.5%, time: 2022-11-19 12:35:04
epoch: 50, train loss: 2.0989, train accuracy: 75.6%, valid accuracy: 25.0%, time: 2022-11-19 12:35:26
epoch: 51, train loss: 2.0925, train accuracy: 76.22%, valid accuracy: 28.0%, time: 2022-11-19 12:35:49
epoch: 52, train loss: 2.0969, train accuracy: 75.52%, valid accuracy: 28.5%, time: 2022-11-19 12:36:10
epoch: 53, train loss: 2.1049, train accuracy: 75.2%, valid accuracy: 32.5%, time: 2022-11-19 12:36:32
epoch: 54, train loss: 2.0984, train accuracy: 75.78%, valid accuracy: 30.5%, time: 2022-11-19 12:36:54
epoch: 55, train loss: 2.0974, train accuracy: 76.48%, valid accuracy: 34.0%, time: 2022-11-19 12:37:16
epoch: 56, train loss: 2.0827, train accuracy: 77.74%, valid accuracy: 29.5%, time: 2022-11-19 12:37:38
epoch: 57, train loss: 2.0737, train accuracy: 78.84%, valid accuracy: 33.0%, time: 2022-11-19 12:38:00
epoch: 58, train loss: 2.0785, train accuracy: 78.18%, valid accuracy: 29.0%, time: 2022-11-19 12:38:23
epoch: 59, train loss: 2.0658, train accuracy: 79.7%, valid accuracy: 28.5%, time: 2022-11-19 12:38:44
epoch: 60, train loss: 2.0524, train accuracy: 80.3%, valid accuracy: 29.5%, time: 2022-11-19 12:39:05
epoch: 61, train loss: 2.0435, train accuracy: 81.18%, valid accuracy: 31.5%, time: 2022-11-19 12:39:25
epoch: 62, train loss: 2.0428, train accuracy: 81.38%, valid accuracy: 26.5%, time: 2022-11-19 12:39:46
epoch: 63, train loss: 2.0479, train accuracy: 80.78%, valid accuracy: 31.0%, time: 2022-11-19 12:40:08
epoch: 64, train loss: 2.0406, train accuracy: 81.7%, valid accuracy: 28.5%, time: 2022-11-19 12:40:29
epoch: 65, train loss: 2.0371, train accuracy: 81.84%, valid accuracy: 32.0%, time: 2022-11-19 12:40:50
epoch: 66, train loss: 2.038, train accuracy: 81.44%, valid accuracy: 28.0%, time: 2022-11-19 12:41:12
epoch: 67, train loss: 2.0395, train accuracy: 81.8%, valid accuracy: 26.0%, time: 2022-11-19 12:41:33
epoch: 68, train loss: 2.0309, train accuracy: 82.72%, valid accuracy: 22.5%, time: 2022-11-19 12:41:54
epoch: 69, train loss: 2.0299, train accuracy: 82.72%, valid accuracy: 28.0%, time: 2022-11-19 12:42:16
epoch: 70, train loss: 2.0328, train accuracy: 82.22%, valid accuracy: 24.0%, time: 2022-11-19 12:42:37
epoch: 71, train loss: 2.0277, train accuracy: 82.64%, valid accuracy: 29.5%, time: 2022-11-19 12:42:59
epoch: 72, train loss: 2.0374, train accuracy: 81.7%, valid accuracy: 30.0%, time: 2022-11-19 12:43:20
epoch: 73, train loss: 2.026, train accuracy: 82.68%, valid accuracy: 31.0%, time: 2022-11-19 12:43:42
epoch: 74, train loss: 2.019, train accuracy: 83.32%, valid accuracy: 28.0%, time: 2022-11-19 12:44:04
epoch: 75, train loss: 2.0252, train accuracy: 82.68%, valid accuracy: 27.5%, time: 2022-11-19 12:44:25
epoch: 76, train loss: 2.0176, train accuracy: 83.06%, valid accuracy: 28.0%, time: 2022-11-19 12:44:47
epoch: 77, train loss: 2.0214, train accuracy: 83.16%, valid accuracy: 26.5%, time: 2022-11-19 12:45:09
epoch: 78, train loss: 2.018, train accuracy: 83.44%, valid accuracy: 29.5%, time: 2022-11-19 12:45:31
epoch: 79, train loss: 2.0162, train accuracy: 83.74%, valid accuracy: 25.0%, time: 2022-11-19 12:45:53
epoch: 80, train loss: 2.0198, train accuracy: 83.9%, valid accuracy: 30.5%, time: 2022-11-19 12:46:15
epoch: 81, train loss: 2.0136, train accuracy: 83.96%, valid accuracy: 27.0%, time: 2022-11-19 12:46:37
epoch: 82, train loss: 2.0173, train accuracy: 83.94%, valid accuracy: 27.0%, time: 2022-11-19 12:46:59
epoch: 83, train loss: 2.0094, train accuracy: 84.72%, valid accuracy: 32.5%, time: 2022-11-19 12:47:21
epoch: 84, train loss: 2.0273, train accuracy: 83.12%, valid accuracy: 26.5%, time: 2022-11-19 12:47:43
epoch: 85, train loss: 2.0135, train accuracy: 84.46%, valid accuracy: 25.5%, time: 2022-11-19 12:48:05
epoch: 86, train loss: 2.0008, train accuracy: 85.7%, valid accuracy: 28.5%, time: 2022-11-19 12:48:28
epoch: 87, train loss: 1.9974, train accuracy: 86.04%, valid accuracy: 25.0%, time: 2022-11-19 12:48:50
epoch: 88, train loss: 1.9893, train accuracy: 86.7%, valid accuracy: 28.0%, time: 2022-11-19 12:49:17
epoch: 89, train loss: 1.9864, train accuracy: 86.86%, valid accuracy: 26.0%, time: 2022-11-19 12:49:40
epoch: 90, train loss: 1.9946, train accuracy: 86.2%, valid accuracy: 29.5%, time: 2022-11-19 12:50:04
epoch: 91, train loss: 1.9898, train accuracy: 86.36%, valid accuracy: 30.0%, time: 2022-11-19 12:50:29
epoch: 92, train loss: 1.9876, train accuracy: 86.92%, valid accuracy: 31.5%, time: 2022-11-19 12:50:53
epoch: 93, train loss: 1.9781, train accuracy: 87.4%, valid accuracy: 29.5%, time: 2022-11-19 12:51:16
epoch: 94, train loss: 1.9756, train accuracy: 87.86%, valid accuracy: 29.5%, time: 2022-11-19 12:51:40
epoch: 95, train loss: 1.9937, train accuracy: 86.32%, valid accuracy: 31.0%, time: 2022-11-19 12:52:04
epoch: 96, train loss: 1.9795, train accuracy: 87.38%, valid accuracy: 26.0%, time: 2022-11-19 12:52:27
epoch: 97, train loss: 1.9832, train accuracy: 87.06%, valid accuracy: 29.0%, time: 2022-11-19 12:52:49
epoch: 98, train loss: 1.969, train accuracy: 88.44%, valid accuracy: 26.5%, time: 2022-11-19 12:53:14
epoch: 99, train loss: 1.9764, train accuracy: 87.76%, valid accuracy: 27.0%, time: 2022-11-19 12:53:38
epoch: 100, train loss: 1.9796, train accuracy: 87.68%, valid accuracy: 28.5%, time: 2022-11-19 12:54:02
epoch: 101, train loss: 1.9786, train accuracy: 87.46%, valid accuracy: 31.0%, time: 2022-11-19 12:54:26
epoch: 102, train loss: 1.9816, train accuracy: 87.14%, valid accuracy: 30.0%, time: 2022-11-19 12:54:49
epoch: 103, train loss: 1.9706, train accuracy: 88.4%, valid accuracy: 31.0%, time: 2022-11-19 12:55:12
epoch: 104, train loss: 1.9674, train accuracy: 88.24%, valid accuracy: 31.5%, time: 2022-11-19 12:55:34
epoch: 105, train loss: 1.9602, train accuracy: 88.98%, valid accuracy: 32.5%, time: 2022-11-19 12:55:57
epoch: 106, train loss: 1.9984, train accuracy: 85.9%, valid accuracy: 29.5%, time: 2022-11-19 12:56:19
epoch: 107, train loss: 1.9776, train accuracy: 87.84%, valid accuracy: 32.0%, time: 2022-11-19 12:56:42
epoch: 108, train loss: 1.965, train accuracy: 88.92%, valid accuracy: 29.5%, time: 2022-11-19 12:57:05
epoch: 109, train loss: 1.9582, train accuracy: 89.36%, valid accuracy: 27.5%, time: 2022-11-19 12:57:28
epoch: 110, train loss: 1.9544, train accuracy: 89.32%, valid accuracy: 27.5%, time: 2022-11-19 12:57:52
epoch: 111, train loss: 1.955, train accuracy: 89.4%, valid accuracy: 29.5%, time: 2022-11-19 12:58:16
epoch: 112, train loss: 1.9511, train accuracy: 89.66%, valid accuracy: 31.0%, time: 2022-11-19 12:58:42
epoch: 113, train loss: 1.963, train accuracy: 88.7%, valid accuracy: 29.5%, time: 2022-11-19 12:59:06
epoch: 114, train loss: 1.9696, train accuracy: 88.3%, valid accuracy: 29.0%, time: 2022-11-19 12:59:28
epoch: 115, train loss: 1.9759, train accuracy: 87.7%, valid accuracy: 31.5%, time: 2022-11-19 12:59:51
epoch: 116, train loss: 1.968, train accuracy: 88.4%, valid accuracy: 30.5%, time: 2022-11-19 13:00:13
epoch: 117, train loss: 1.9601, train accuracy: 88.9%, valid accuracy: 28.0%, time: 2022-11-19 13:00:36
epoch: 118, train loss: 1.968, train accuracy: 88.58%, valid accuracy: 27.0%, time: 2022-11-19 13:00:59
epoch: 119, train loss: 1.975, train accuracy: 87.92%, valid accuracy: 30.0%, time: 2022-11-19 13:01:21
epoch: 120, train loss: 1.9563, train accuracy: 89.36%, valid accuracy: 29.0%, time: 2022-11-19 13:01:45
epoch: 121, train loss: 1.9622, train accuracy: 88.84%, valid accuracy: 27.5%, time: 2022-11-19 13:02:09
epoch: 122, train loss: 1.9629, train accuracy: 88.9%, valid accuracy: 27.0%, time: 2022-11-19 13:02:33
epoch: 123, train loss: 1.9583, train accuracy: 89.24%, valid accuracy: 29.5%, time: 2022-11-19 13:02:56
epoch: 124, train loss: 1.9562, train accuracy: 89.32%, valid accuracy: 26.0%, time: 2022-11-19 13:03:19
epoch: 125, train loss: 1.9599, train accuracy: 89.1%, valid accuracy: 29.0%, time: 2022-11-19 13:03:42
epoch: 126, train loss: 1.9518, train accuracy: 89.58%, valid accuracy: 30.5%, time: 2022-11-19 13:04:04
epoch: 127, train loss: 1.9556, train accuracy: 89.24%, valid accuracy: 26.5%, time: 2022-11-19 13:04:26
epoch: 128, train loss: 1.9731, train accuracy: 88.08%, valid accuracy: 25.5%, time: 2022-11-19 13:04:49
epoch: 129, train loss: 1.9825, train accuracy: 87.0%, valid accuracy: 29.5%, time: 2022-11-19 13:05:11
epoch: 130, train loss: 1.9621, train accuracy: 88.68%, valid accuracy: 31.0%, time: 2022-11-19 13:05:34
epoch: 131, train loss: 1.9588, train accuracy: 88.96%, valid accuracy: 26.0%, time: 2022-11-19 13:05:55
epoch: 132, train loss: 1.9637, train accuracy: 88.84%, valid accuracy: 27.0%, time: 2022-11-19 13:06:17
epoch: 133, train loss: 1.9734, train accuracy: 87.86%, valid accuracy: 29.0%, time: 2022-11-19 13:06:40
epoch: 134, train loss: 1.97, train accuracy: 88.22%, valid accuracy: 30.5%, time: 2022-11-19 13:07:03
epoch: 135, train loss: 1.9623, train accuracy: 88.9%, valid accuracy: 32.5%, time: 2022-11-19 13:07:27
epoch: 136, train loss: 1.9544, train accuracy: 89.28%, valid accuracy: 31.0%, time: 2022-11-19 13:07:52
epoch: 137, train loss: 1.9653, train accuracy: 88.54%, valid accuracy: 28.0%, time: 2022-11-19 13:08:17
epoch: 138, train loss: 1.9589, train accuracy: 88.84%, valid accuracy: 27.5%, time: 2022-11-19 13:08:40
epoch: 139, train loss: 1.9582, train accuracy: 88.72%, valid accuracy: 25.5%, time: 2022-11-19 13:09:03
epoch: 140, train loss: 1.9592, train accuracy: 88.94%, valid accuracy: 27.5%, time: 2022-11-19 13:09:26
epoch: 141, train loss: 1.9652, train accuracy: 88.34%, valid accuracy: 25.5%, time: 2022-11-19 13:09:49
epoch: 142, train loss: 1.9612, train accuracy: 88.68%, valid accuracy: 27.0%, time: 2022-11-19 13:10:12
epoch: 143, train loss: 1.9594, train accuracy: 88.92%, valid accuracy: 29.5%, time: 2022-11-19 13:10:36
epoch: 144, train loss: 1.9692, train accuracy: 88.1%, valid accuracy: 30.5%, time: 2022-11-19 13:10:59
epoch: 145, train loss: 1.9593, train accuracy: 89.04%, valid accuracy: 28.0%, time: 2022-11-19 13:11:23
epoch: 146, train loss: 1.9514, train accuracy: 89.16%, valid accuracy: 30.0%, time: 2022-11-19 13:11:46
epoch: 147, train loss: 1.9537, train accuracy: 89.48%, valid accuracy: 29.0%, time: 2022-11-19 13:12:10
epoch: 148, train loss: 1.9647, train accuracy: 88.38%, valid accuracy: 28.5%, time: 2022-11-19 13:12:33
epoch: 149, train loss: 1.9474, train accuracy: 89.68%, valid accuracy: 27.0%, time: 2022-11-19 13:12:56
epoch: 150, train loss: 1.9523, train accuracy: 89.26%, valid accuracy: 25.0%, time: 2022-11-19 13:13:20
epoch: 151, train loss: 1.974, train accuracy: 87.66%, valid accuracy: 31.5%, time: 2022-11-19 13:13:42
epoch: 152, train loss: 1.9608, train accuracy: 88.88%, valid accuracy: 32.0%, time: 2022-11-19 13:14:05
epoch: 153, train loss: 1.9609, train accuracy: 88.8%, valid accuracy: 31.0%, time: 2022-11-19 13:14:28
epoch: 154, train loss: 1.9518, train accuracy: 89.2%, valid accuracy: 31.5%, time: 2022-11-19 13:14:51
epoch: 155, train loss: 1.954, train accuracy: 89.3%, valid accuracy: 32.5%, time: 2022-11-19 13:15:13
epoch: 156, train loss: 1.9562, train accuracy: 89.1%, valid accuracy: 32.5%, time: 2022-11-19 13:15:36
epoch: 157, train loss: 1.9557, train accuracy: 88.96%, valid accuracy: 28.5%, time: 2022-11-19 13:15:59
epoch: 158, train loss: 1.9512, train accuracy: 89.3%, valid accuracy: 27.5%, time: 2022-11-19 13:16:21
epoch: 159, train loss: 1.9661, train accuracy: 88.48%, valid accuracy: 32.5%, time: 2022-11-19 13:16:44
epoch: 160, train loss: 1.975, train accuracy: 87.26%, valid accuracy: 26.5%, time: 2022-11-19 13:17:06
epoch: 161, train loss: 1.9631, train accuracy: 88.38%, valid accuracy: 26.0%, time: 2022-11-19 13:17:29
epoch: 162, train loss: 1.9606, train accuracy: 88.52%, valid accuracy: 31.0%, time: 2022-11-19 13:17:51
epoch: 163, train loss: 1.9558, train accuracy: 89.1%, valid accuracy: 28.0%, time: 2022-11-19 13:18:14
epoch: 164, train loss: 1.9535, train accuracy: 89.04%, valid accuracy: 28.5%, time: 2022-11-19 13:18:36
epoch: 165, train loss: 1.9491, train accuracy: 89.46%, valid accuracy: 29.0%, time: 2022-11-19 13:18:59
epoch: 166, train loss: 1.9481, train accuracy: 89.64%, valid accuracy: 30.0%, time: 2022-11-19 13:19:21
epoch: 167, train loss: 1.9595, train accuracy: 88.7%, valid accuracy: 34.5%, time: 2022-11-19 13:19:44
epoch: 168, train loss: 1.9609, train accuracy: 88.46%, valid accuracy: 31.0%, time: 2022-11-19 13:20:06
epoch: 169, train loss: 1.9855, train accuracy: 86.42%, valid accuracy: 32.0%, time: 2022-11-19 13:20:29
epoch: 170, train loss: 1.9492, train accuracy: 89.5%, valid accuracy: 29.5%, time: 2022-11-19 13:20:51
epoch: 171, train loss: 1.9512, train accuracy: 89.28%, valid accuracy: 32.5%, time: 2022-11-19 13:21:14
epoch: 172, train loss: 1.9489, train accuracy: 89.56%, valid accuracy: 28.0%, time: 2022-11-19 13:21:36
epoch: 173, train loss: 1.9538, train accuracy: 89.04%, valid accuracy: 31.0%, time: 2022-11-19 13:21:59
epoch: 174, train loss: 1.9582, train accuracy: 88.84%, valid accuracy: 30.5%, time: 2022-11-19 13:22:21
epoch: 175, train loss: 1.9509, train accuracy: 89.42%, valid accuracy: 28.5%, time: 2022-11-19 13:22:44
epoch: 176, train loss: 1.9479, train accuracy: 89.52%, valid accuracy: 28.5%, time: 2022-11-19 13:23:07
epoch: 177, train loss: 1.9681, train accuracy: 87.76%, valid accuracy: 26.0%, time: 2022-11-19 13:23:29
epoch: 178, train loss: 1.9567, train accuracy: 88.74%, valid accuracy: 29.5%, time: 2022-11-19 13:23:52
epoch: 179, train loss: 1.9803, train accuracy: 86.72%, valid accuracy: 27.0%, time: 2022-11-19 13:24:14
epoch: 180, train loss: 1.9614, train accuracy: 88.46%, valid accuracy: 27.5%, time: 2022-11-19 13:24:37
epoch: 181, train loss: 1.9492, train accuracy: 89.32%, valid accuracy: 29.5%, time: 2022-11-19 13:24:59
epoch: 182, train loss: 1.9526, train accuracy: 89.2%, valid accuracy: 27.5%, time: 2022-11-19 13:25:21
epoch: 183, train loss: 1.9581, train accuracy: 88.78%, valid accuracy: 33.0%, time: 2022-11-19 13:25:44
epoch: 184, train loss: 1.9499, train accuracy: 89.58%, valid accuracy: 29.0%, time: 2022-11-19 13:26:06
epoch: 185, train loss: 1.9457, train accuracy: 89.64%, valid accuracy: 30.0%, time: 2022-11-19 13:26:28
epoch: 186, train loss: 1.947, train accuracy: 89.64%, valid accuracy: 27.0%, time: 2022-11-19 13:26:51
epoch: 187, train loss: 1.9533, train accuracy: 89.24%, valid accuracy: 25.5%, time: 2022-11-19 13:27:13
epoch: 188, train loss: 1.949, train accuracy: 89.82%, valid accuracy: 26.0%, time: 2022-11-19 13:27:36
epoch: 189, train loss: 1.9516, train accuracy: 89.18%, valid accuracy: 32.5%, time: 2022-11-19 13:27:59
epoch: 190, train loss: 1.9482, train accuracy: 89.78%, valid accuracy: 27.0%, time: 2022-11-19 13:28:22
epoch: 191, train loss: 1.9564, train accuracy: 89.3%, valid accuracy: 27.5%, time: 2022-11-19 13:28:44
epoch: 192, train loss: 1.9506, train accuracy: 89.66%, valid accuracy: 29.5%, time: 2022-11-19 13:29:07
epoch: 193, train loss: 1.945, train accuracy: 90.08%, valid accuracy: 27.0%, time: 2022-11-19 13:29:32
epoch: 194, train loss: 1.9552, train accuracy: 89.46%, valid accuracy: 31.0%, time: 2022-11-19 13:29:54
epoch: 195, train loss: 1.9595, train accuracy: 88.88%, valid accuracy: 31.5%, time: 2022-11-19 13:30:16
epoch: 196, train loss: 1.9362, train accuracy: 90.9%, valid accuracy: 29.0%, time: 2022-11-19 13:30:39
epoch: 197, train loss: 1.945, train accuracy: 90.12%, valid accuracy: 31.0%, time: 2022-11-19 13:31:01
epoch: 198, train loss: 1.9308, train accuracy: 91.5%, valid accuracy: 31.5%, time: 2022-11-19 13:31:23
epoch: 199, train loss: 1.9385, train accuracy: 90.9%, valid accuracy: 27.5%, time: 2022-11-19 13:31:46
